#           k/h    P           
 0.89437492E-01 0.55639561E+04
 0.90332367E-01 0.54504321E+04
 0.91227241E-01 0.53408853E+04
 0.92122115E-01 0.52354463E+04
 0.93016990E-01 0.51342271E+04
 0.93911864E-01 0.50373013E+04
 0.94806738E-01 0.49447163E+04
 0.95701613E-01 0.48564927E+04
 0.96596487E-01 0.47726255E+04
 0.97491361E-01 0.46930771E+04
 0.98386228E-01 0.46177959E+04
 0.99281102E-01 0.45466978E+04
 0.10017598E+00 0.44796855E+04
 0.10107085E+00 0.44166357E+04
 0.10196573E+00 0.43574116E+04
 0.10286060E+00 0.43018569E+04
 0.10375547E+00 0.42498018E+04
 0.10465035E+00 0.42010635E+04
 0.10554522E+00 0.41554482E+04
 0.10644010E+00 0.41127495E+04
 0.10733497E+00 0.40727566E+04
 0.10822985E+00 0.40352493E+04
 0.10912472E+00 0.40000034E+04
 0.11001959E+00 0.39667905E+04
 0.11091446E+00 0.39353821E+04
 0.11180934E+00 0.39055471E+04
 0.11270421E+00 0.38770581E+04
 0.11359908E+00 0.38496895E+04
 0.11449396E+00 0.38232185E+04
 0.11538883E+00 0.37974319E+04
 0.11628371E+00 0.37721201E+04
 0.11717858E+00 0.37470857E+04
 0.11807346E+00 0.37221384E+04
 0.11896833E+00 0.36971018E+04
 0.11986320E+00 0.36718105E+04
 0.12075808E+00 0.36461130E+04
 0.12165295E+00 0.36198721E+04
 0.12254783E+00 0.35929663E+04
 0.12344270E+00 0.35652900E+04
 0.12433757E+00 0.35367537E+04
 0.12523244E+00 0.35072849E+04
 0.12612732E+00 0.34768276E+04
 0.12702219E+00 0.34453428E+04
 0.12791707E+00 0.34128076E+04
 0.12881194E+00 0.33792166E+04
 0.12970681E+00 0.33445776E+04
 0.13060169E+00 0.33089175E+04
 0.13149656E+00 0.32722722E+04
 0.13239144E+00 0.32346956E+04
 0.13328631E+00 0.31962512E+04
 0.13418119E+00 0.31570137E+04
 0.13507606E+00 0.31170676E+04
 0.13597094E+00 0.30765076E+04
 0.13686581E+00 0.30354319E+04
 0.13776068E+00 0.29939480E+04
 0.13865556E+00 0.29521663E+04
 0.13955043E+00 0.29101987E+04
 0.14044531E+00 0.28681611E+04
