#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.638147E-02   0.106084E+08   0.106038E+08   0.249985E+05   0.249984E+05   0.102766E+08   0.105974E+08   0.106077E+08   0.105974E+08  -0.488961E+00   0.915828E+07   0.915818E+07   0.451052E+01
   0.645277E-02   0.105851E+08   0.105804E+08   0.243947E+05   0.243946E+05   0.102482E+08   0.105739E+08   0.105843E+08   0.105739E+08  -0.487877E+00   0.913801E+07   0.913791E+07   0.454723E+01
   0.652487E-02   0.105616E+08   0.105567E+08   0.238048E+05   0.238047E+05   0.102195E+08   0.105502E+08   0.105608E+08   0.105502E+08  -0.486782E+00   0.911754E+07   0.911744E+07   0.458418E+01
   0.659777E-02   0.105378E+08   0.105328E+08   0.232285E+05   0.232284E+05   0.101905E+08   0.105262E+08   0.105370E+08   0.105262E+08  -0.485676E+00   0.909685E+07   0.909674E+07   0.462135E+01
   0.667149E-02   0.105137E+08   0.105087E+08   0.226655E+05   0.226654E+05   0.101612E+08   0.105020E+08   0.105129E+08   0.105020E+08  -0.484558E+00   0.907595E+07   0.907584E+07   0.465875E+01
   0.674603E-02   0.104895E+08   0.104843E+08   0.221155E+05   0.221154E+05   0.101317E+08   0.104775E+08   0.104886E+08   0.104775E+08  -0.483429E+00   0.905483E+07   0.905472E+07   0.469638E+01
   0.682141E-02   0.104649E+08   0.104596E+08   0.215782E+05   0.215781E+05   0.101018E+08   0.104528E+08   0.104640E+08   0.104528E+08  -0.482288E+00   0.903350E+07   0.903338E+07   0.473423E+01
   0.689762E-02   0.104401E+08   0.104347E+08   0.210533E+05   0.210533E+05   0.100716E+08   0.104278E+08   0.104392E+08   0.104278E+08  -0.481136E+00   0.901194E+07   0.901183E+07   0.477231E+01
   0.697469E-02   0.104151E+08   0.104096E+08   0.205406E+05   0.205405E+05   0.100412E+08   0.104026E+08   0.104142E+08   0.104026E+08  -0.479972E+00   0.899018E+07   0.899006E+07   0.481061E+01
   0.705262E-02   0.103898E+08   0.103842E+08   0.200398E+05   0.200397E+05   0.100105E+08   0.103771E+08   0.103888E+08   0.103771E+08  -0.478796E+00   0.896819E+07   0.896807E+07   0.484914E+01
   0.713142E-02   0.103642E+08   0.103585E+08   0.195505E+05   0.195504E+05   0.997944E+07   0.103514E+08   0.103633E+08   0.103514E+08  -0.477609E+00   0.894598E+07   0.894586E+07   0.488788E+01
   0.721110E-02   0.103384E+08   0.103326E+08   0.190726E+05   0.190725E+05   0.994812E+07   0.103254E+08   0.103375E+08   0.103254E+08  -0.476410E+00   0.892355E+07   0.892343E+07   0.492685E+01
   0.729167E-02   0.103124E+08   0.103064E+08   0.186058E+05   0.186058E+05   0.991651E+07   0.102991E+08   0.103114E+08   0.102991E+08  -0.475198E+00   0.890091E+07   0.890078E+07   0.496603E+01
   0.737314E-02   0.102861E+08   0.102800E+08   0.181499E+05   0.181498E+05   0.988460E+07   0.102726E+08   0.102851E+08   0.102726E+08  -0.473975E+00   0.887803E+07   0.887791E+07   0.500544E+01
   0.745552E-02   0.102595E+08   0.102533E+08   0.177045E+05   0.177045E+05   0.985239E+07   0.102458E+08   0.102585E+08   0.102459E+08  -0.472740E+00   0.885494E+07   0.885481E+07   0.504505E+01
   0.753882E-02   0.102327E+08   0.102263E+08   0.172696E+05   0.172695E+05   0.981990E+07   0.102188E+08   0.102316E+08   0.102188E+08  -0.471494E+00   0.883162E+07   0.883149E+07   0.508488E+01
   0.762305E-02   0.102056E+08   0.101991E+08   0.168447E+05   0.168446E+05   0.978710E+07   0.101915E+08   0.102045E+08   0.101915E+08  -0.470235E+00   0.880808E+07   0.880794E+07   0.512491E+01
   0.770823E-02   0.101782E+08   0.101716E+08   0.164298E+05   0.164297E+05   0.975401E+07   0.101640E+08   0.101771E+08   0.101640E+08  -0.468964E+00   0.878431E+07   0.878417E+07   0.516515E+01
   0.779435E-02   0.101506E+08   0.101439E+08   0.160245E+05   0.160245E+05   0.972063E+07   0.101362E+08   0.101495E+08   0.101362E+08  -0.467680E+00   0.876031E+07   0.876017E+07   0.520560E+01
   0.788144E-02   0.101228E+08   0.101159E+08   0.156287E+05   0.156287E+05   0.968694E+07   0.101081E+08   0.101216E+08   0.101081E+08  -0.466385E+00   0.873609E+07   0.873595E+07   0.524625E+01
   0.796950E-02   0.100946E+08   0.100876E+08   0.152422E+05   0.152421E+05   0.965297E+07   0.100798E+08   0.100935E+08   0.100798E+08  -0.465078E+00   0.871164E+07   0.871149E+07   0.528710E+01
   0.805854E-02   0.100662E+08   0.100591E+08   0.148647E+05   0.148647E+05   0.961870E+07   0.100512E+08   0.100650E+08   0.100512E+08  -0.463758E+00   0.868696E+07   0.868681E+07   0.532814E+01
   0.814858E-02   0.100376E+08   0.100303E+08   0.144961E+05   0.144960E+05   0.958412E+07   0.100223E+08   0.100364E+08   0.100223E+08  -0.462426E+00   0.866205E+07   0.866190E+07   0.536938E+01
   0.823962E-02   0.100087E+08   0.100012E+08   0.141361E+05   0.141360E+05   0.954926E+07   0.999317E+07   0.100074E+08   0.999318E+07  -0.461082E+00   0.863691E+07   0.863676E+07   0.541080E+01
   0.833169E-02   0.997947E+07   0.997185E+07   0.137845E+05   0.137845E+05   0.951409E+07   0.996377E+07   0.997819E+07   0.996378E+07  -0.459725E+00   0.861154E+07   0.861139E+07   0.545242E+01
   0.842478E-02   0.995002E+07   0.994224E+07   0.134413E+05   0.134412E+05   0.947864E+07   0.993410E+07   0.994871E+07   0.993411E+07  -0.458356E+00   0.858595E+07   0.858579E+07   0.549421E+01
   0.851891E-02   0.992029E+07   0.991235E+07   0.131060E+05   0.131060E+05   0.944288E+07   0.990416E+07   0.991896E+07   0.990417E+07  -0.456975E+00   0.856011E+07   0.855995E+07   0.553618E+01
   0.861409E-02   0.989030E+07   0.988220E+07   0.127787E+05   0.127787E+05   0.940682E+07   0.987396E+07   0.988894E+07   0.987397E+07  -0.455581E+00   0.853405E+07   0.853389E+07   0.557832E+01
   0.871033E-02   0.986004E+07   0.985178E+07   0.124591E+05   0.124591E+05   0.937047E+07   0.984348E+07   0.985865E+07   0.984349E+07  -0.454175E+00   0.850776E+07   0.850759E+07   0.562063E+01
   0.880766E-02   0.982951E+07   0.982108E+07   0.121470E+05   0.121470E+05   0.933383E+07   0.981274E+07   0.982809E+07   0.981274E+07  -0.452756E+00   0.848122E+07   0.848105E+07   0.566311E+01
   0.890606E-02   0.979871E+07   0.979011E+07   0.118423E+05   0.118423E+05   0.929688E+07   0.978172E+07   0.979727E+07   0.978172E+07  -0.451325E+00   0.845446E+07   0.845429E+07   0.570574E+01
   0.900557E-02   0.976764E+07   0.975887E+07   0.115448E+05   0.115448E+05   0.925964E+07   0.975043E+07   0.976617E+07   0.975043E+07  -0.449881E+00   0.842746E+07   0.842729E+07   0.574853E+01
   0.910619E-02   0.973630E+07   0.972735E+07   0.112544E+05   0.112543E+05   0.922210E+07   0.971887E+07   0.973480E+07   0.971887E+07  -0.448425E+00   0.840023E+07   0.840005E+07   0.579147E+01
   0.920794E-02   0.970469E+07   0.969556E+07   0.109708E+05   0.109708E+05   0.918427E+07   0.968703E+07   0.970315E+07   0.968704E+07  -0.446956E+00   0.837276E+07   0.837258E+07   0.583455E+01
