#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.112723E-01   0.115074E+08   0.114953E+08   0.640388E+04   0.815317E+04   0.839941E+07   0.114819E+08   0.115055E+08   0.114819E+08  -0.408232E+00   0.872855E+07   0.872837E+07   0.481208E+01
   0.113983E-01   0.114656E+08   0.114532E+08   0.644848E+04   0.774106E+04   0.833754E+07   0.114399E+08   0.114637E+08   0.114399E+08  -0.406739E+00   0.869670E+07   0.869652E+07   0.484477E+01
   0.115256E-01   0.114234E+08   0.114109E+08   0.613957E+04   0.733183E+04   0.827548E+07   0.113976E+08   0.114215E+08   0.113976E+08  -0.405234E+00   0.866460E+07   0.866441E+07   0.487747E+01
   0.116544E-01   0.113810E+08   0.113682E+08   0.577501E+04   0.713381E+04   0.821322E+07   0.113550E+08   0.113790E+08   0.113550E+08  -0.403717E+00   0.863226E+07   0.863206E+07   0.491015E+01
   0.117846E-01   0.113382E+08   0.113251E+08   0.565112E+04   0.714525E+04   0.815077E+07   0.113120E+08   0.113361E+08   0.113120E+08  -0.402189E+00   0.859967E+07   0.859947E+07   0.494282E+01
   0.119163E-01   0.112950E+08   0.112817E+08   0.576677E+04   0.715472E+04   0.808812E+07   0.112687E+08   0.112930E+08   0.112687E+08  -0.400649E+00   0.856682E+07   0.856662E+07   0.497545E+01
   0.120494E-01   0.112516E+08   0.112380E+08   0.584233E+04   0.696059E+04   0.802527E+07   0.112250E+08   0.112495E+08   0.112250E+08  -0.399097E+00   0.853373E+07   0.853352E+07   0.500805E+01
   0.121841E-01   0.112078E+08   0.111940E+08   0.562438E+04   0.658572E+04   0.796223E+07   0.111810E+08   0.112057E+08   0.111810E+08  -0.397533E+00   0.850038E+07   0.850018E+07   0.504059E+01
   0.123202E-01   0.111637E+08   0.111496E+08   0.515119E+04   0.625368E+04   0.789900E+07   0.111367E+08   0.111615E+08   0.111367E+08  -0.395958E+00   0.846679E+07   0.846658E+07   0.507308E+01
   0.124579E-01   0.111192E+08   0.111049E+08   0.469814E+04   0.614182E+04   0.783558E+07   0.110921E+08   0.111170E+08   0.110921E+08  -0.394371E+00   0.843294E+07   0.843272E+07   0.510550E+01
   0.125970E-01   0.110744E+08   0.110598E+08   0.447578E+04   0.618051E+04   0.777197E+07   0.110471E+08   0.110722E+08   0.110471E+08  -0.392772E+00   0.839884E+07   0.839862E+07   0.513783E+01
   0.127378E-01   0.110293E+08   0.110144E+08   0.443170E+04   0.613232E+04   0.770819E+07   0.110018E+08   0.110270E+08   0.110018E+08  -0.391161E+00   0.836448E+07   0.836426E+07   0.517008E+01
   0.128801E-01   0.109838E+08   0.109687E+08   0.437993E+04   0.587040E+04   0.764424E+07   0.109562E+08   0.109815E+08   0.109562E+08  -0.389539E+00   0.832987E+07   0.832964E+07   0.520222E+01
   0.130240E-01   0.109381E+08   0.109226E+08   0.427814E+04   0.553083E+04   0.758013E+07   0.109102E+08   0.109357E+08   0.109102E+08  -0.387904E+00   0.829501E+07   0.829477E+07   0.523425E+01
   0.131695E-01   0.108919E+08   0.108762E+08   0.427896E+04   0.534687E+04   0.751587E+07   0.108639E+08   0.108895E+08   0.108639E+08  -0.386257E+00   0.825989E+07   0.825965E+07   0.526614E+01
   0.133167E-01   0.108455E+08   0.108294E+08   0.446967E+04   0.535840E+04   0.745147E+07   0.108172E+08   0.108430E+08   0.108172E+08  -0.384599E+00   0.822451E+07   0.822427E+07   0.529790E+01
   0.134655E-01   0.107986E+08   0.107823E+08   0.465186E+04   0.536072E+04   0.738695E+07   0.107702E+08   0.107961E+08   0.107702E+08  -0.382928E+00   0.818887E+07   0.818863E+07   0.532951E+01
   0.136159E-01   0.107515E+08   0.107349E+08   0.451334E+04   0.516930E+04   0.732232E+07   0.107229E+08   0.107489E+08   0.107229E+08  -0.381245E+00   0.815298E+07   0.815274E+07   0.536094E+01
   0.137681E-01   0.107040E+08   0.106871E+08   0.403277E+04   0.486333E+04   0.725759E+07   0.106752E+08   0.107014E+08   0.106753E+08  -0.379551E+00   0.811684E+07   0.811658E+07   0.539220E+01
