#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.661287E-02   0.170943E+08   0.170897E+08   0.329021E+03   0.141420E+05   0.147672E+08   0.170760E+08   0.170936E+08   0.170760E+08  -0.404749E+00   0.897792E+07   0.897787E+07   0.223222E+01
   0.668676E-02   0.170585E+08   0.170537E+08  -0.342222E+03   0.136289E+05   0.147074E+08   0.170399E+08   0.170577E+08   0.170399E+08  -0.403894E+00   0.895899E+07   0.895895E+07   0.225032E+01
   0.676147E-02   0.170222E+08   0.170173E+08  -0.562411E+03   0.134895E+05   0.146467E+08   0.170034E+08   0.170214E+08   0.170034E+08  -0.403029E+00   0.893986E+07   0.893981E+07   0.226852E+01
   0.683702E-02   0.169856E+08   0.169806E+08  -0.264109E+03   0.136485E+05   0.145856E+08   0.169666E+08   0.169848E+08   0.169666E+08  -0.402157E+00   0.892054E+07   0.892049E+07   0.228684E+01
   0.691341E-02   0.169486E+08   0.169436E+08   0.387180E+03   0.138841E+05   0.145239E+08   0.169294E+08   0.169478E+08   0.169294E+08  -0.401276E+00   0.890104E+07   0.890099E+07   0.230527E+01
   0.699065E-02   0.169113E+08   0.169061E+08   0.107795E+04   0.139343E+05   0.144619E+08   0.168919E+08   0.169105E+08   0.168919E+08  -0.400386E+00   0.888136E+07   0.888131E+07   0.232382E+01
   0.706876E-02   0.168736E+08   0.168683E+08   0.150697E+04   0.136301E+05   0.143994E+08   0.168540E+08   0.168728E+08   0.168540E+08  -0.399488E+00   0.886149E+07   0.886144E+07   0.234247E+01
   0.714774E-02   0.168356E+08   0.168302E+08   0.153883E+04   0.129874E+05   0.143364E+08   0.168158E+08   0.168348E+08   0.168158E+08  -0.398582E+00   0.884143E+07   0.884138E+07   0.236123E+01
   0.722760E-02   0.167972E+08   0.167917E+08   0.126714E+04   0.122042E+05   0.142730E+08   0.167772E+08   0.167964E+08   0.167772E+08  -0.397668E+00   0.882119E+07   0.882114E+07   0.238010E+01
   0.730835E-02   0.167585E+08   0.167529E+08   0.948405E+03   0.115577E+05   0.142092E+08   0.167383E+08   0.167576E+08   0.167383E+08  -0.396744E+00   0.880076E+07   0.880070E+07   0.239909E+01
   0.739001E-02   0.167194E+08   0.167137E+08   0.839329E+03   0.112524E+05   0.141449E+08   0.166990E+08   0.167185E+08   0.166990E+08  -0.395813E+00   0.878014E+07   0.878009E+07   0.241818E+01
   0.747258E-02   0.166799E+08   0.166741E+08   0.102990E+04   0.113018E+05   0.140801E+08   0.166593E+08   0.166790E+08   0.166593E+08  -0.394873E+00   0.875933E+07   0.875928E+07   0.243737E+01
   0.755607E-02   0.166401E+08   0.166342E+08   0.137522E+04   0.115156E+05   0.140149E+08   0.166193E+08   0.166392E+08   0.166193E+08  -0.393924E+00   0.873833E+07   0.873828E+07   0.245668E+01
   0.764050E-02   0.165999E+08   0.165938E+08   0.157746E+04   0.116084E+05   0.139493E+08   0.165789E+08   0.165990E+08   0.165789E+08  -0.392966E+00   0.871714E+07   0.871709E+07   0.247609E+01
   0.772586E-02   0.165594E+08   0.165532E+08   0.137863E+04   0.113702E+05   0.138833E+08   0.165381E+08   0.165584E+08   0.165381E+08  -0.392000E+00   0.869576E+07   0.869570E+07   0.249560E+01
   0.781218E-02   0.165185E+08   0.165121E+08   0.748546E+03   0.107982E+05   0.138168E+08   0.164970E+08   0.165175E+08   0.164970E+08  -0.391025E+00   0.867419E+07   0.867413E+07   0.251522E+01
   0.789947E-02   0.164772E+08   0.164707E+08  -0.588336E+02   0.101031E+05   0.137497E+08   0.164555E+08   0.164762E+08   0.164555E+08  -0.390041E+00   0.865241E+07   0.865235E+07   0.253493E+01
   0.798773E-02   0.164355E+08   0.164289E+08  -0.634879E+03   0.957736E+04   0.136823E+08   0.164136E+08   0.164345E+08   0.164136E+08  -0.389049E+00   0.863044E+07   0.863038E+07   0.255475E+01
   0.807698E-02   0.163935E+08   0.163868E+08  -0.666199E+03   0.940406E+04   0.136145E+08   0.163713E+08   0.163924E+08   0.163714E+08  -0.388048E+00   0.860828E+07   0.860822E+07   0.257467E+01
   0.816722E-02   0.163511E+08   0.163442E+08  -0.148111E+03   0.953191E+04   0.135463E+08   0.163287E+08   0.163500E+08   0.163287E+08  -0.387037E+00   0.858592E+07   0.858586E+07   0.259469E+01
   0.825848E-02   0.163083E+08   0.163013E+08   0.590298E+03   0.970620E+04   0.134776E+08   0.162857E+08   0.163072E+08   0.162857E+08  -0.386018E+00   0.856337E+07   0.856331E+07   0.261481E+01
   0.835075E-02   0.162651E+08   0.162580E+08   0.108760E+04   0.964399E+04   0.134085E+08   0.162424E+08   0.162640E+08   0.162424E+08  -0.384990E+00   0.854062E+07   0.854055E+07   0.263502E+01
   0.844405E-02   0.162216E+08   0.162143E+08   0.105860E+04   0.923607E+04   0.133390E+08   0.161986E+08   0.162205E+08   0.161986E+08  -0.383953E+00   0.851766E+07   0.851760E+07   0.265532E+01
   0.853840E-02   0.161777E+08   0.161703E+08   0.598307E+03   0.862951E+04   0.132691E+08   0.161545E+08   0.161765E+08   0.161545E+08  -0.382907E+00   0.849451E+07   0.849444E+07   0.267571E+01
   0.863380E-02   0.161334E+08   0.161258E+08   0.122138E+03   0.812189E+04   0.131987E+08   0.161100E+08   0.161322E+08   0.161100E+08  -0.381852E+00   0.847116E+07   0.847109E+07   0.269620E+01
   0.873027E-02   0.160887E+08   0.160810E+08   0.625845E+02   0.793683E+04   0.131280E+08   0.160650E+08   0.160875E+08   0.160650E+08  -0.380787E+00   0.844760E+07   0.844753E+07   0.271677E+01
